time,ensemble,siteID,oxygen,temperature,obs_flag,forecast,data_assimilation
2021-07-02,1,BARC,6.9153852083669,17.499964490481673,2,1,0
2021-07-02,2,BARC,6.340013409843137,19.361818573484403,2,1,0
2021-07-02,3,BARC,7.006416533426849,11.098360432758007,2,1,0
2021-07-02,4,BARC,6.503795444252609,19.25131082054389,2,1,0
2021-07-02,5,BARC,6.393768761460055,37.73398721914277,2,1,0
2021-07-02,6,BARC,6.8512004476884,15.743721585851803,2,1,0
2021-07-02,7,BARC,6.162209002135013,36.996095746142416,2,1,0
2021-07-02,8,BARC,6.808754029291052,38.32738464177592,2,1,0
2021-07-02,9,BARC,6.400172536623014,42.54306140580944,2,1,0
2021-07-02,10,BARC,6.783153252814595,12.350431682830063,2,1,0
2021-07-02,11,BARC,7.62252902909735,32.896665930671524,2,1,0
2021-07-02,12,BARC,7.012365045162293,42.44141694777892,2,1,0
2021-07-02,13,BARC,6.656754668413978,17.686629986336506,2,1,0
2021-07-02,14,BARC,6.840115123695999,29.27190545224258,2,1,0
2021-07-02,15,BARC,6.793897714532331,36.566037213041255,2,1,0
2021-07-02,16,BARC,6.547667912811446,35.13827896958224,2,1,0
2021-07-02,17,BARC,6.937851148841689,23.13652208823951,2,1,0
2021-07-02,18,BARC,6.935039063882717,15.317939151224536,2,1,0
2021-07-02,19,BARC,6.336757390346988,18.218513739329797,2,1,0
2021-07-02,20,BARC,7.1241191259479555,12.002127744469819,2,1,0
2021-07-02,21,BARC,7.195218690222199,30.75493808021398,2,1,0
2021-07-02,22,BARC,6.741132307737597,31.312916859697307,2,1,0
2021-07-02,23,BARC,6.918532843594517,39.5554312016977,2,1,0
2021-07-02,24,BARC,6.234743804732157,18.459804520141695,2,1,0
2021-07-02,25,BARC,6.629158838832261,17.56936536344822,2,1,0
2021-07-02,26,BARC,6.380318024690538,32.440563723920974,2,1,0
2021-07-02,27,BARC,6.506410772981547,28.660618565616797,2,1,0
2021-07-02,28,BARC,6.7824906476671245,27.654285448225828,2,1,0
2021-07-02,29,BARC,6.85502093041559,16.248705038366143,2,1,0
2021-07-02,30,BARC,6.9543219538486465,31.005094525209042,2,1,0
2021-07-02,31,BARC,6.420979983133979,33.551895027678086,2,1,0
2021-07-02,32,BARC,7.33846653995306,1.2402428664308942,2,1,0
2021-07-02,33,BARC,6.326957471848644,39.006593626538354,2,1,0
2021-07-02,34,BARC,6.544342638732436,33.862056007560334,2,1,0
2021-07-02,35,BARC,6.697265713014792,39.21856262152687,2,1,0
2021-07-02,36,BARC,6.386433081110614,47.17252928294476,2,1,0
2021-07-02,37,BARC,5.904461469236103,35.78445807207216,2,1,0
2021-07-02,38,BARC,6.817974929938499,22.93371940351526,2,1,0
2021-07-02,39,BARC,7.322619078894272,29.205283034702536,2,1,0
2021-07-02,40,BARC,7.116727888069343,33.76207843045465,2,1,0
2021-07-02,41,BARC,6.692520919177887,16.159752942249252,2,1,0
2021-07-02,42,BARC,7.0999058761966145,17.314005347949696,2,1,0
2021-07-02,43,BARC,6.52422609943663,25.016710105458245,2,1,0
2021-07-02,44,BARC,6.31789913877423,48.04586175327218,2,1,0
2021-07-02,45,BARC,6.078597349251375,23.31632585778799,2,1,0
2021-07-02,46,BARC,6.174054185135891,23.143061504567683,2,1,0
2021-07-02,47,BARC,6.689113291902123,20.606835743259108,2,1,0
2021-07-02,48,BARC,7.227008938898473,3.3418367966311147,2,1,0
2021-07-02,49,BARC,7.082193193510666,39.26261950563264,2,1,0
2021-07-02,50,BARC,6.172787524012491,26.541791263143917,2,1,0
2021-07-02,51,BARC,7.0327831523256235,10.88618047388865,2,1,0
2021-07-02,52,BARC,7.0031436942276715,42.93337736969211,2,1,0
2021-07-02,53,BARC,6.781220034629285,15.77629607578932,2,1,0
2021-07-02,54,BARC,7.272016954672874,28.043105380367237,2,1,0
2021-07-02,55,BARC,7.291455386408474,29.115903721033813,2,1,0
2021-07-02,56,BARC,6.982441827882284,17.043768976994286,2,1,0
2021-07-02,57,BARC,6.965831424875381,42.89121532382372,2,1,0
2021-07-02,58,BARC,6.234102481136161,29.80662360312461,2,1,0
2021-07-02,59,BARC,8.067083456626346,13.841365413812587,2,1,0
2021-07-02,60,BARC,6.372190181050728,32.19244299940259,2,1,0
2021-07-02,61,BARC,6.9781984425654136,22.402872249682847,2,1,0
2021-07-02,62,BARC,6.933547326106246,15.170748303314195,2,1,0
2021-07-02,63,BARC,6.341893602905533,23.03568850106966,2,1,0
2021-07-02,64,BARC,6.810728698151546,37.52259866022277,2,1,0
2021-07-02,65,BARC,6.632762396675054,36.570038661358446,2,1,0
2021-07-02,66,BARC,6.986879094990569,43.65091473419665,2,1,0
2021-07-02,67,BARC,6.433122889826929,23.456770753027264,2,1,0
2021-07-02,68,BARC,6.780718910966654,30.947911501854456,2,1,0
2021-07-02,69,BARC,6.583653747961989,42.419704704586344,2,1,0
2021-07-02,70,BARC,7.198914920180494,25.26432778384976,2,1,0
2021-07-02,71,BARC,7.509177275432261,26.906533684775965,2,1,0
2021-07-02,72,BARC,6.856465225820169,25.550870691297977,2,1,0
2021-07-02,73,BARC,6.5926177499406755,24.206550452476474,2,1,0
